78762 2018-06-21 12:00:00Z
AirPressure [MB],Altitude [m],InSituAirTemperature [Cel],DewPoint [Cel],Speed [m.s-1],Direction [deg]
10.0,30630.002,41.61001,41.209984,NaN,NaN
12.7,29509.5,-43.090004,-83.090004,19.0,95.0
14.9,28596.502,-46.890007,-84.49,26.2,75.0
16.9,27766.504,-44.489998,-84.49,26.2,80.0
20.0,26480.0,-48.29,-84.49,29.3,90.0
21.1,26189.602,-49.29,-84.49,29.3,90.0
23.5,25556.0,-48.890007,-84.49,29.3,90.0
30.0,23840.0,-55.689995,-84.49,30.8,90.0
42.9,21788.898,-63.689995,-84.49,24.6,95.0
50.0,20660.0,-64.89001,-84.49,21.6,90.0
57.9,19866.049,-66.689995,-84.49,12.3,115.0
63.2,19333.4,-71.090004,-84.49,16.9,75.0
70.0,18650.0,-71.689995,-84.49,8.7,80.0
75.4,18273.799,-70.29,-79.090004,12.8,90.0
78.0,18092.668,-73.49,-79.090004,8.7,100.0
100.0,16560.0,-75.89001,-79.090004,13.8,265.0
103.0,16418.398,-75.090004,-79.090004,16.9,230.0
106.0,16276.8,-78.29,-79.090004,16.9,230.0
132.0,15049.6,-74.090004,-79.090004,13.8,195.0
150.0,14200.0,-67.689995,-76.689995,13.3,195.0
162.0,13772.8,-64.29,-75.29,7.2,200.0
179.0,13167.6,-60.29,-76.29,5.6,275.0
182.0,13060.799,-60.090004,-67.090004,5.6,275.0
189.0,12811.601,-58.090004,-70.090004,5.6,275.0
191.0,12740.4,-57.689995,-67.689995,5.1,290.0
200.0,12420.0,-55.090004,-65.090004,5.1,290.0
208.0,12184.8,-52.689995,-59.689995,5.1,290.0
216.0,11949.6,-50.489998,-62.489998,5.1,300.0
246.0,11067.6,-43.489998,-48.390007,4.6,290.0
250.0,10950.0,-42.489998,-48.489998,4.6,290.0
264.0,10600.0,-39.29,-49.29,3.6,255.0
281.0,10175.0,-35.489998,-42.489998,2.5,290.0
292.0,9900.0,-33.689995,-37.689995,2.5,290.0
300.0,9700.0,-32.29,-36.689995,2.5,290.0
400.0,7600.0,-16.88999,-18.890005,3.6,195.0
405.0,7514.4995,-16.290014,-18.689993,3.6,195.0
415.0,7343.5,-15.489996,-16.090002,3.6,195.0
465.0,6488.5,-10.290014,-12.790014,5.1,200.0
500.0,5890.0,-5.4899964,-15.489996,7.7,170.0
506.0,5808.521,-4.8899903,-14.88999,8.2,175.0
539.0,5360.38,-1.4899963,-8.489996,7.7,170.0
579.0,4817.18,0.6100098,-3.9899964,4.6,170.0
585.0,4735.699,0.40999755,-2.9899964,4.6,170.0
602.0,4504.8394,1.2099854,-0.48999634,4.1,160.0
633.0,4083.8604,3.4099975,1.4099976,4.1,160.0
700.0,3174.0,9.209986,4.2099853,2.0,140.0
850.0,1528.0,20.010004,9.010004,4.1,90.0
882.0,1253.9719,22.209986,10.209986,5.1,100.0
890.0,1185.4648,21.010004,11.010004,5.1,100.0
906.0,1048.4508,21.809992,11.809992,1.5,15.0
914.0,979.9437,20.61001,12.61001,1.5,15.0
921.0,920.0,16.809992,15.510004,1.5,15.0
