72202 2018-08-20 12:00:00Z
AirPressure [MB],Altitude [m],InSituAirTemperature [Cel],DewPoint [Cel],Speed [m.s-1],Direction [deg]
7.8,32297.6,-39.090004,-81.090004,NaN,NaN
7.9,32251.799,-38.890007,-80.89001,NaN,NaN
10.0,31290.002,-45.890007,-82.89001,29.3,85.0
12.4,30190.803,-44.689995,-82.689995,16.4,95.0
15.0,29000.002,-49.689995,-83.689995,29.8,90.0
20.0,26710.002,-48.890007,-83.89001,13.3,95.0
21.1,26421.803,-48.29,-84.29,12.3,100.0
24.7,25478.602,-54.489998,-84.29,21.6,85.0
30.0,24090.0,-54.689995,-84.29,15.9,85.0
35.1,23263.799,-53.489998,-84.29,19.0,105.0
37.2,22923.602,-58.090004,-84.29,19.0,105.0
45.0,21660.0,-58.489998,-84.29,15.9,85.0
50.0,20850.0,-61.489998,-84.29,14.9,110.0
64.6,19346.201,-66.689995,-84.29,18.0,75.0
70.0,18790.0,-66.090004,-84.29,17.4,75.0
70.4,18761.6,-66.090004,-84.29,17.4,75.0
100.0,16660.0,-70.89001,-79.49,5.1,120.0
101.0,16611.2,-71.89001,-79.49,7.2,150.0
102.0,16562.4,-73.090004,-79.49,7.2,150.0
138.0,14805.6,-63.489998,-79.49,4.1,330.0
150.0,14220.0,-65.29,-76.29,9.2,100.0
160.0,13864.0,-65.49,-73.49,13.3,75.0
181.0,13116.4,-59.489998,-69.49,16.4,55.0
200.0,12440.0,-54.689995,-63.689995,16.4,55.0
217.0,11940.2,-50.689995,-57.689995,15.9,65.0
239.0,11293.4,-45.489998,-67.49,15.9,65.0
250.0,10970.0,-43.090004,-58.090004,7.7,65.0
270.0,10470.0,-39.090004,-46.090004,6.1,55.0
281.0,10195.0,-36.890007,-48.890007,3.0,35.0
292.0,9920.0,-34.689995,-40.689995,3.0,35.0
300.0,9720.0,-33.090004,-41.090004,2.5,45.0
304.0,9636.4,-32.29,-44.29,2.5,45.0
311.0,9490.1,-30.689993,-40.689995,2.5,60.0
321.0,9281.1,-28.689993,-43.689995,1.0,65.0
339.0,8904.9,-26.489996,-34.489998,2.0,185.0
363.0,8403.3,-22.489996,-34.489998,3.6,155.0
368.0,8298.801,-21.689993,-40.689995,3.6,155.0
376.0,8131.5996,-20.689993,-28.689993,3.6,155.0
400.0,7630.0,-17.489996,-29.489996,3.6,205.0
402.0,7595.8,-17.090002,-31.090002,3.6,205.0
406.0,7527.4,-16.690008,-25.689993,3.6,205.0
412.0,7424.8003,-16.489996,-28.489996,4.1,185.0
417.0,7339.3,-16.090002,-23.090002,4.1,185.0
420.0,7288.0005,-15.690008,-27.689993,4.1,185.0
431.0,7099.9,-14.290014,-22.289999,4.6,205.0
438.0,6980.1997,-13.489996,-26.489996,4.6,205.0
445.0,6860.5,-12.489996,-22.489996,4.6,205.0
457.0,6655.3,-10.88999,-24.890005,4.6,210.0
459.0,6621.0996,-10.88999,-18.890005,4.6,210.0
464.0,6535.6006,-10.290014,-17.289999,4.6,210.0
488.0,6125.1997,-7.4899964,-18.489996,5.1,210.0
495.0,6005.5005,-7.2900147,-13.290014,5.6,205.0
500.0,5920.0,-6.8899903,-15.88999,5.6,205.0
519.0,5662.9297,-4.6900086,-15.690008,5.6,205.0
538.0,5405.86,-3.6900086,-10.690008,5.6,205.0
579.0,4851.13,0.20998535,-11.790014,4.6,205.0
600.0,4567.0,1.4099976,-5.5900025,4.1,215.0
700.0,3214.0,9.409998,1.4099976,2.5,140.0
710.0,3104.667,10.209986,1.2099854,2.5,140.0
779.0,2350.2666,13.809992,9.010004,2.0,125.0
820.0,1902.0001,17.209986,9.209986,5.1,145.0
850.0,1574.0,18.61001,10.61001,6.6,140.0
925.0,843.0,22.409998,16.409998,7.2,130.0
1000.0,156.0,27.409998,23.809992,3.6,125.0
1006.0,102.35294,27.409998,23.909998,3.6,125.0
1017.0,4.0,26.209986,24.209986,1.0,120.0
