78016 2018-06-21 00:00:00Z
AirPressure [MB],Altitude [m],InSituAirTemperature [Cel],DewPoint [Cel],Speed [m.s-1],Direction [deg]
25.1,24901.35,-50.090004,-85.090004,10.8,65.0
25.2,24885.2,-50.090004,-85.090004,10.8,65.0
29.2,24239.2,-53.890007,-85.090004,11.8,85.0
30.0,24110.0,-53.090004,-85.090004,11.8,85.0
34.7,23350.951,-54.090004,-85.090004,10.8,105.0
37.6,22882.6,-58.489998,-85.090004,10.8,105.0
44.3,21800.549,-58.090004,-85.090004,10.2,95.0
50.0,20880.0,-61.29,-85.090004,8.2,95.0
65.0,19327.5,-64.29,-85.090004,5.1,105.0
70.0,18810.0,-63.689995,-85.090004,4.1,115.0
74.5,18486.0,-62.689995,-85.090004,7.7,20.0
77.1,18298.8,-66.49,-85.090004,6.1,20.0
85.9,17665.2,-68.89001,-83.090004,8.2,100.0
100.0,16650.0,-68.689995,-83.090004,12.3,55.0
130.0,15186.0,-68.090004,-83.090004,14.4,55.0
150.0,14210.0,-63.890007,-76.89001,15.9,55.0
155.0,14029.999,-63.489998,-77.49,15.9,55.0
160.0,13850.0,-63.489998,-68.49,15.9,55.0
178.0,13201.999,-58.890007,-71.89001,21.6,35.0
181.0,13094.0,-58.29,-74.29,21.6,35.0
188.0,12841.999,-56.489998,-70.49,15.4,35.0
191.0,12734.001,-56.689995,-61.689995,15.4,35.0
196.0,12554.0,-55.090004,-63.090004,15.4,35.0
199.0,12446.0,-54.29,-57.689995,15.4,35.0
200.0,12410.0,-54.090004,-57.79,15.4,35.0
202.0,12351.2,-53.489998,-60.489998,15.4,35.0
204.0,12292.4,-53.29,-56.390007,13.3,30.0
225.0,11675.0,-47.489998,-49.689995,12.3,60.0
250.0,10940.0,-41.689995,-48.689995,11.3,55.0
263.0,10609.8,-38.29,-53.29,10.2,65.0
293.0,9847.8,-32.29,-43.29,9.2,75.0
300.0,9670.0,-30.689993,-45.689995,10.2,75.0
315.0,9355.0,-27.489996,-43.489998,10.8,65.0
318.0,9292.001,-27.090002,-55.090004,10.8,65.0
323.0,9187.0,-26.489996,-37.489998,10.8,65.0
337.0,8893.0,-24.289999,-59.29,9.2,85.0
352.0,8578.0,-23.489996,-52.489998,7.2,45.0
400.0,7570.0,-15.88999,-40.890007,7.2,45.0
417.0,7279.3,-13.489996,-39.489998,8.2,30.0
420.0,7228.0005,-13.489996,-41.489998,8.2,30.0
462.0,6509.8,-10.489996,-43.489998,4.6,50.0
465.0,6458.5,-10.690008,-19.689993,4.6,50.0
468.0,6407.2,-10.290014,-18.289999,4.6,50.0
479.0,6219.1,-9.090002,-24.090002,4.6,50.0
482.0,6167.8,-8.690008,-18.689993,4.6,50.0
488.0,6065.1997,-8.290014,-31.289999,4.6,50.0
493.0,5979.7,-8.090002,-17.090002,4.6,50.0
499.0,5877.1,-7.6900086,-15.690008,3.6,60.0
500.0,5860.0,-7.6900086,-16.690008,3.6,60.0
510.0,5725.0996,-6.6900086,-24.689993,3.6,60.0
552.0,5158.519,-2.2900147,-33.29,1.5,225.0
635.0,4038.8496,4.4099975,-22.590002,3.0,255.0
641.0,3957.9102,3.6100097,-11.38999,5.1,295.0
658.0,3728.58,4.0100036,1.9099976,5.1,295.0
700.0,3162.0,8.409998,3.9099975,5.1,265.0
702.0,3140.28,8.61001,3.6100097,5.1,265.0
742.0,2705.8801,10.010004,8.61001,6.6,245.0
754.0,2575.5598,10.809992,1.8099915,4.6,245.0
777.0,2325.78,11.61001,9.61001,4.6,245.0
832.0,1728.4797,14.61001,13.010004,7.7,230.0
850.0,1533.0,16.209986,13.409998,7.7,235.0
888.0,1165.16,18.61001,11.61001,9.2,240.0
893.0,1116.76,18.409998,13.409998,9.2,240.0
906.0,990.92,19.209986,15.11001,10.2,240.0
914.0,913.48004,20.010004,12.010004,10.2,240.0
925.0,807.0,20.209986,13.209986,10.2,240.0
948.0,598.4667,20.61001,19.510004,11.3,240.0
1000.0,127.0,25.010004,21.309992,8.2,235.0
1010.0,5.9999995,26.209986,21.909998,6.6,240.0
